TableName	ColumnName	DataType	max_length	is_nullable	IsPrimaryKey
AcMaintainerLog	Transactionid	uniqueidentifier	16	0	NO
AcMaintainerLog	Transactionid	uniqueidentifier	16	0	NO
AcMaintainerLog	Action	char	1	0	NO
AcMaintainerLog	Action	char	1	0	NO
AcMaintainerLog	ClockHourValue	int	4	0	NO
AcMaintainerLog	ClockHourValue	int	4	0	NO
AcMaintainerLog	BodyPartId	int	4	0	NO
ActionType	Id	int	4	0	YES
ActionType	Description	nvarchar	40	0	NO
ActionType	Code	nvarchar	4	0	NO
Activity	ActivityId	uniqueidentifier	16	0	YES
Activity	ActivityId	uniqueidentifier	16	0	YES
Activity	eta_act_ActivityId	uniqueidentifier	16	0	YES
Activity	ActivityId	uniqueidentifier	16	0	YES
Activity	smt_Id	int	4	0	YES
activity	act_id	uniqueidentifier	16	0	YES
Activity	aba_Id	int	4	0	YES
Activity	ActivityId	uniqueidentifier	16	0	YES
Activity	ira_id	int	4	0	YES
Activity	ira_act_id	uniqueidentifier	16	0	NO
Activity	PreparationId	int	4	0	NO
Activity	aba_Description	nvarchar	500	0	NO
Activity	smt_ect_EncounterId	uniqueidentifier	16	0	NO
Activity	PrescriptionIssued	bit	1	1	NO
Activity	eta_abv_VersionId	int	4	0	NO
Activity	UnderstandsConditionResponseId	int	4	1	NO
Activity	ComplianceToDrops_LookupDataId	int	4	1	NO
Activity	KnowsHowToAdminister_LookupDataId	int	4	1	NO
Activity	UnderstandsDiagnosisResponseId	int	4	1	NO
Activity	MonthsPrescriptionValidFor	int	4	1	NO
Activity	aba_Name	nvarchar	500	0	NO
Activity	SurgicalCompletionId	int	4	1	NO
Activity	VoucherIssued	bit	1	1	NO
Activity	UnderstandsEyeAffectedResponseId	int	4	1	NO
Activity	Comments	nvarchar	2000	1	NO
Activity	KnowsSignsAndSymptomsResponseId	int	4	1	NO
Activity	smt_das_SectionId	int	4	0	NO
Activity	smt_smr_ReviewTypeId	int	4	1	NO
Activity	Comments	nvarchar	2000	1	NO
Activity	smt_smr_HasHiddenQueries	bit	1	0	NO
Activity	smt_ShowRemovedSectionWarning	bit	1	0	NO
activity	act_parent_id	uniqueidentifier	16	1	NO
activitybinary	abn_id	int	4	0	YES
activitybinary	abn_bod_id	int	4	0	NO
activitybinary	abn_abt_TypeId	int	4	0	NO
activitybinary	abn_mim_id	int	4	0	NO
activitybinary	abn_blb_id	uniqueidentifier	16	0	NO
activitybinary	abn_editablestate	nvarchar	-1	0	NO
activitybinary	abn_description	nvarchar	4000	1	NO
activitybinary	abn_creationdate	datetime	8	1	NO
activitybinary	abn_deleted	bit	1	1	NO
activitybinary	abn_template_id	int	4	1	NO
activitybinary	abn_templatetype	int	4	1	NO
activitybinary	abn_initialstate	varchar	-1	1	NO
activitybinary	abn_drawingcreationoption	int	4	1	NO
activitybinary	abn_thumbnail_blb_id	uniqueidentifier	16	1	NO
activitybinary	abn_autopopulatelock	bit	1	0	NO
ActivityBinaryType	abt_id	int	4	0	YES
ActivityBinaryType	abt_description	nvarchar	60	0	NO
activitycomment	acm_id	int	4	0	YES
activitycomment	acm_comment	nvarchar	-1	1	NO
activitycommentlog	acm_ObjectId	int	4	0	NO
activitycommentlog	acm_id	int	4	0	YES
activitycommentlog	acm_act_id	uniqueidentifier	16	0	NO
activitycommentlog	acm_bod_id	int	4	0	NO
activitycommentlog	acm_comment	nvarchar	-1	1	NO
activitycommentlog	acm_cty_id	int	4	1	NO
activitycommentlog	acm_DateAdded	datetime	8	0	NO
activitycommentlog	acm_AddedBy	uniqueidentifier	16	0	NO
activitycommentlog	acm_TransactionId	uniqueidentifier	16	0	NO
activitycommentlog	acm_Action	char	1	0	NO
activitydocumentlink	dac_id	int	4	0	YES
activitydrug	adr_id	int	4	0	YES
activitydrug	adr_drs_id	int	4	1	NO
activitydrug	adr_none	bit	1	0	NO
activitydrug	adr_mcn_id	int	4	1	NO
activitydrug	adr_dos_id	int	4	1	NO
activitydrug	adr_dro_id	int	4	1	NO
activitydrug	adr_dfr_id	int	4	1	NO
activitydrug	adr_ddu_id	int	4	1	NO
activitydrug	adr_ant_id	int	4	1	NO
activitydrug	adr_time	time	5	1	NO
activitydrug	adr_order	int	4	1	NO
activitydrug	adr_sourceset	int	4	1	NO
activitydrug	adr_lks_id_type	int	4	1	NO
activitydrug	adr_pdt_expired	uniqueidentifier	16	1	NO
activitydrug	adr_batchnumber	varchar	255	1	NO
activitydrug	adr_deleted	bit	1	1	NO
activitydrugconcept	adc_id	int	4	0	YES
activitydrugconcept	adc_concept	varchar	255	0	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_id	int	4	0	YES
ActivityDrugDuplicateMedicationRemovalBackup	adr_act_id	uniqueidentifier	16	0	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_bod_id	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_drs_id	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_adc_id	int	4	0	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_none	bit	1	0	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_mcn_id	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_dos_id	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_dro_id	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_dfr_id	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_ddu_id	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_ant_id	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_time	time	5	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_order	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_sourceset	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_lks_id_type	int	4	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_pdt_expired	uniqueidentifier	16	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_batchnumber	varchar	255	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_deleted	bit	1	1	NO
ActivityDrugDuplicateMedicationRemovalBackup	adr_PatchVersion	varchar	256	0	YES
activitydruglog	adr_ObjectId	int	4	0	NO
activitydruglog	adr_id	int	4	0	YES
activitydruglog	adr_act_id	uniqueidentifier	16	0	NO
activitydruglog	adr_bod_id	int	4	1	NO
activitydruglog	adr_drs_id	int	4	1	NO
activitydruglog	adr_adc_id	int	4	0	NO
activitydruglog	adr_none	bit	1	0	NO
activitydruglog	adr_dos_id	int	4	1	NO
activitydruglog	adr_dro_id	int	4	1	NO
activitydruglog	adr_dfr_id	int	4	1	NO
activitydruglog	adr_ddu_id	int	4	1	NO
activitydruglog	adr_ant_id	int	4	1	NO
activitydruglog	adr_time	time	5	1	NO
activitydruglog	adr_order	int	4	1	NO
activitydruglog	adr_sourceset	int	4	1	NO
activitydruglog	adr_lks_id_type	int	4	1	NO
activitydruglog	adr_DateAdded	datetime	8	0	NO
activitydruglog	adr_AddedBy	uniqueidentifier	16	0	NO
activitydruglog	adr_TransactionId	uniqueidentifier	16	0	NO
activitydruglog	adr_Action	char	1	0	NO
activitydruglog	adr_mcn_id	int	4	1	NO
activitydruglog	adr_pdt_expired	uniqueidentifier	16	1	NO
activitydruglog	adr_batchnumber	varchar	255	1	NO
activitydruglog	adr_deleted	bit	1	1	NO
activitygroup	acg_id	int	4	0	YES
activitygroupitem	agi_id	int	4	0	YES
ActivityIOPGUID	SourceID	uniqueidentifier	16	0	YES
ActivityIOPGUID	DestinationID	uniqueidentifier	16	0	NO
ActivityIOPGUID	DestinationIDInt	int	4	1	NO
ActivityIOPGUID	IsStaticEnum	bit	1	0	NO
ActivityIOPGUID	MedisoftMigrationTypeId	int	4	0	YES
ActivityItem	irm_id	int	4	0	YES
ActivityItem	irm_lks_Id_Device	int	4	1	NO
ActivityItem	irm_iro_id_LeftEyeOutcome	int	4	1	NO
ActivityItem	irm_LeftEyeComments	nvarchar	4000	1	NO
ActivityItem	irm_iro_id_RightEyeOutcome	int	4	1	NO
ActivityItem	irm_RightEyeComments	nvarchar	4000	1	NO
ActivityItem	irm_Deleted	bit	1	0	NO
ActivityItemInvestigation	irv_Id	int	4	0	YES
ActivityItemInvestigation	irv_irm_id	int	4	0	NO
ActivityItemInvestigation	irv_iri_id	int	4	0	NO
ActivityItemInvestigation	irv_Deleted	bit	1	0	NO
ActivityItemInvestigationLog	irv_ObjectId	int	4	0	NO
ActivityItemInvestigationLog	irv_Id	int	4	0	YES
ActivityItemInvestigationLog	irv_irm_id	int	4	0	NO
ActivityItemInvestigationLog	irv_iri_id	int	4	0	NO
ActivityItemInvestigationLog	irv_Deleted	bit	1	0	NO
ActivityItemInvestigationLog	irv_DateAdded	datetime	8	0	NO
ActivityItemInvestigationLog	irv_AddedBy	uniqueidentifier	16	0	NO
ActivityItemInvestigationLog	irv_Transactionid	uniqueidentifier	16	0	NO
ActivityItemInvestigationLog	irv_Action	char	1	0	NO
ActivityItemLog	irm_ObjectId	int	4	0	NO
ActivityItemLog	irm_id	int	4	0	YES
ActivityItemLog	irm_ira_id	int	4	0	NO
ActivityItemLog	irm_lks_Id_Device	int	4	1	NO
ActivityItemLog	irm_iro_id_LeftEyeOutcome	int	4	1	NO
ActivityItemLog	irm_LeftEyeComments	nvarchar	4000	1	NO
ActivityItemLog	irm_iro_id_RightEyeOutcome	int	4	1	NO
ActivityItemLog	irm_RightEyeComments	nvarchar	4000	1	NO
ActivityItemLog	irm_DateAdded	datetime	8	0	NO
ActivityItemLog	irm_AddedBy	uniqueidentifier	16	0	NO
ActivityItemLog	irm_Transactionid	uniqueidentifier	16	0	NO
ActivityItemLog	irm_Action	char	1	0	NO
ActivityItemLog	irm_Deleted	bit	1	0	NO
ActivityLaterality	Id	int	4	0	YES
ActivityLaterality	ActivityId	uniqueidentifier	16	0	NO
ActivityLaterality	BodyPartId	int	4	0	NO
ActivityLaterality	TypeId	int	4	0	NO
ActivityLaterality	Sphere	float	8	1	NO
ActivityLaterality	Cylinder	float	8	1	NO
ActivityLaterality	Axis	float	8	1	NO
ActivityLaterality	SphericalEquivalent	float	8	1	NO
ActivityLaterality	Add	float	8	1	NO
ActivityLaterality	VisualAcuityId	int	4	1	NO
ActivityLaterality	Bvd	int	4	1	NO
ActivityLaterality	PrismRange1	decimal	5	1	NO
ActivityLaterality	PrismRange2	decimal	5	1	NO
ActivityLaterality	PrismBase1LookupDataId	int	4	1	NO
ActivityLaterality	PrismBase2LookupDataId	int	4	1	NO
ActivityLaterality	BalanceLens	bit	1	1	NO
ActivityLateralityLog	Id	int	4	0	YES
ActivityLateralityLog	ObjectId	int	4	0	NO
ActivityLateralityLog	DateAdded	datetime	8	0	NO
ActivityLateralityLog	AddedBy	uniqueidentifier	16	0	NO
ActivityLateralityLog	TransactionId	uniqueidentifier	16	0	NO
ActivityLateralityLog	Action	char	1	0	NO
ActivityLateralityLog	ActivityId	uniqueidentifier	16	0	NO
ActivityLateralityLog	VisualAcuityId	int	4	1	NO
ActivityLateralityLog	BodyPartId	int	4	0	NO
ActivityLateralityLog	TypeId	int	4	0	NO
ActivityLateralityLog	Sphere	float	8	1	NO
ActivityLateralityLog	Cylinder	float	8	1	NO
ActivityLateralityLog	Axis	float	8	1	NO
ActivityLateralityLog	SphericalEquivalent	float	8	1	NO
ActivityLateralityLog	Add	float	8	1	NO
ActivityLateralityLog	Bvd	int	4	1	NO
ActivityLateralityLog	PrismRange1	decimal	5	1	NO
ActivityLateralityLog	PrismRange2	decimal	5	1	NO
ActivityLateralityLog	PrismBase1LookupDataId	int	4	1	NO
ActivityLateralityLog	PrismBase2LookupDataId	int	4	1	NO
ActivityLateralityLog	BalanceLens	bit	1	1	NO
ActivityLog	ActivityId	int	4	0	YES
ActivityLog	eta_act_ActivityId	int	4	0	YES
ActivityLog	Id	int	4	0	NO
activitylog	act_ObjectId	uniqueidentifier	16	0	NO
ActivityLog	smt_Id	int	4	0	YES
ActivityLog	ira_ObjectId	int	4	0	NO
ActivityLog	aba_Id	int	4	0	YES
ActivityLog	ActivityId	int	4	0	YES
ActivityLog	ActivityId	int	4	0	YES
ActivityLog	ObjectId	uniqueidentifier	16	0	NO
ActivityLog	ObjectId	uniqueidentifier	16	0	NO
ActivityLog	aba_ObjectId	int	4	0	NO
ActivityLog	ira_id	int	4	0	YES
ActivityLog	smt_ObjectId	int	4	0	NO
activitylog	act_id	int	4	0	YES
ActivityLog	ObjectId	uniqueidentifier	16	0	NO
ActivityLog	eta_ObjectId	uniqueidentifier	16	0	NO
ActivityLog	ObjectId	uniqueidentifier	16	0	NO
ActivityLog	DateAdded	datetime	8	0	NO
ActivityLog	eta_DateAdded	datetime	8	0	NO
ActivityLog	DateAdded	datetime	8	0	NO
activitylog	act_ect_id	uniqueidentifier	16	1	NO
ActivityLog	smt_DateAdded	datetime	8	0	NO
ActivityLog	ira_act_id	uniqueidentifier	16	0	NO
ActivityLog	aba_DateAdded	datetime	8	0	NO
ActivityLog	DateAdded	datetime	8	0	NO
ActivityLog	DateAdded	datetime	8	0	NO
ActivityLog	AddedBy	uniqueidentifier	16	0	NO
ActivityLog	AddedBy	uniqueidentifier	16	0	NO
ActivityLog	aba_AddedBy	uniqueidentifier	16	0	NO
ActivityLog	ira_DateAdded	datetime	8	0	NO
ActivityLog	smt_AddedBy	uniqueidentifier	16	0	NO
activitylog	act_aty_id	int	4	1	NO
ActivityLog	AddedBy	uniqueidentifier	16	0	NO
ActivityLog	eta_AddedBy	uniqueidentifier	16	0	NO
ActivityLog	AddedBy	uniqueidentifier	16	0	NO
ActivityLog	TransactionId	uniqueidentifier	16	0	NO
ActivityLog	eta_Transactionid	uniqueidentifier	16	0	NO
ActivityLog	TransactionId	uniqueidentifier	16	0	NO
activitylog	act_loc_id	uniqueidentifier	16	1	NO
ActivityLog	smt_Transactionid	uniqueidentifier	16	0	NO
ActivityLog	ira_AddedBy	uniqueidentifier	16	0	NO
ActivityLog	aba_Transactionid	uniqueidentifier	16	0	NO
ActivityLog	TransactionId	uniqueidentifier	16	0	NO
ActivityLog	TransactionId	uniqueidentifier	16	0	NO
ActivityLog	Action	char	1	0	NO
ActivityLog	Action	char	1	0	NO
ActivityLog	aba_Action	char	1	0	NO
ActivityLog	ira_Transactionid	uniqueidentifier	16	0	NO
ActivityLog	smt_Action	char	1	0	NO
activitylog	act_daterecorded	datetime	8	1	NO
ActivityLog	Action	char	1	0	NO
ActivityLog	eta_Action	char	1	0	NO
ActivityLog	Action	char	1	0	NO
ActivityLog	UnderstandsConditionResponseId	int	4	1	NO
ActivityLog	eta_abv_VersionId	int	4	0	NO
ActivityLog	ActivityId	uniqueidentifier	16	0	YES
activitylog	act_datesaved	datetime	8	1	NO
ActivityLog	smt_ect_EncounterId	uniqueidentifier	16	0	NO
ActivityLog	ira_Action	char	1	0	NO
ActivityLog	aba_Description	nvarchar	500	0	NO
ActivityLog	PreparationId	int	4	0	NO
ActivityLog	ComplianceToDrops_LookupDataId	int	4	1	NO
ActivityLog	KnowsHowToAdminister_LookupDataId	int	4	1	NO
ActivityLog	SurgicalCompletionId	int	4	1	NO
ActivityLog	aba_Name	nvarchar	500	0	NO
ActivityLog	smt_act_ActivityId	uniqueidentifier	16	1	NO
activitylog	act_mode	int	4	0	NO
ActivityLog	PrescriptionIssued	bit	1	1	NO
ActivityLog	UnderstandsDiagnosisResponseId	int	4	1	NO
ActivityLog	UnderstandsEyeAffectedResponseId	int	4	1	NO
ActivityLog	MonthsPrescriptionValidFor	int	4	1	NO
activitylog	act_status	int	4	1	NO
ActivityLog	aba_UniqueKey	uniqueidentifier	16	1	NO
ActivityLog	Comments	nvarchar	2000	1	NO
activitylog	act_displayset	int	4	1	NO
ActivityLog	smt_das_SectionId	int	4	0	NO
ActivityLog	VoucherIssued	bit	1	1	NO
ActivityLog	KnowsSignsAndSymptomsResponseId	int	4	1	NO
ActivityLog	Comments	nvarchar	2000	1	NO
ActivityLog	smt_smr_ReviewTypeId	int	4	1	NO
activitylog	act_parent_id	uniqueidentifier	16	1	NO
activitylog	act_DateAdded	datetime	8	0	NO
ActivityLog	smt_smr_HasHiddenQueries	bit	1	0	NO
ActivityLog	smt_ShowRemovedSectionWarning	bit	1	0	NO
activitylog	act_AddedBy	uniqueidentifier	16	0	NO
activitylog	act_TransactionId	uniqueidentifier	16	0	NO
activitylog	act_Action	char	1	0	NO
ActivityNurseClinicGUID	SourceID	uniqueidentifier	16	0	YES
ActivityNurseClinicGUID	DestinationID	uniqueidentifier	16	0	NO
ActivityNurseClinicGUID	DestinationIDInt	int	4	1	NO
ActivityNurseClinicGUID	IsStaticEnum	bit	1	0	NO
ActivityNurseClinicGUID	MedisoftMigrationTypeId	int	4	0	YES
ActivityOperationIndicationGUID	SourceID	uniqueidentifier	16	0	YES
ActivityOperationIndicationGUID	DestinationID	uniqueidentifier	16	0	NO
ActivityOperationIndicationGUID	DestinationIDInt	int	4	1	NO
ActivityOperationIndicationGUID	IsStaticEnum	bit	1	0	NO
ActivityOperationIndicationGUID	MedisoftMigrationTypeId	int	4	0	YES
activitypatientcontactdetails	apc_id	int	4	0	YES
activitypatientcontactdetails	apc_patientphoneday	nvarchar	510	1	NO
activitypatientcontactdetails	apc_patientphoneevening	nvarchar	510	1	NO
activitypatientcontactdetails	apc_patientphonemobile	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinsurname	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinforename	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkintitle	nvarchar	510	1	NO
activitypatientcontactdetails	apc_lks_id_nextofkinrelation	int	4	1	NO
activitypatientcontactdetails	apc_nextofkinrelationothertext	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinaddress1	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinaddress2	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinaddress3	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinaddress4	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinaddress5	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinpostcode	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinphoneday	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinphoneevening	nvarchar	510	1	NO
activitypatientcontactdetails	apc_nextofkinphonemobile	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_objectId	int	4	0	NO
activitypatientcontactdetailslog	apc_id	int	4	0	YES
activitypatientcontactdetailslog	apc_act_id	uniqueidentifier	16	0	NO
activitypatientcontactdetailslog	apc_patientphoneday	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_patientphoneevening	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_patientphonemobile	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinsurname	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinforename	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkintitle	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_lks_id_nextofkinrelation	int	4	1	NO
activitypatientcontactdetailslog	apc_nextofkinrelationothertext	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinaddress1	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinaddress2	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinaddress3	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinaddress4	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinaddress5	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinpostcode	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinphoneday	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinphoneevening	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_nextofkinphonemobile	nvarchar	510	1	NO
activitypatientcontactdetailslog	apc_dateadded	datetime	8	0	NO
activitypatientcontactdetailslog	apc_addedby	uniqueidentifier	16	0	NO
activitypatientcontactdetailslog	apc_transactionid	uniqueidentifier	16	0	NO
activitypatientcontactdetailslog	apc_action	char	1	0	NO
activitypersonnel	eap_id	int	4	0	YES
activitypersonnel	eap_use_id	uniqueidentifier	16	0	NO
activitypersonnel	eap_acp_id	int	4	0	NO
activitypersonnel	eap_bod_id	int	4	0	NO
activitypersonnellog	eap_ObjectId	int	4	0	NO
activitypersonnellog	eap_id	int	4	0	YES
activitypersonnellog	eap_act_id	uniqueidentifier	16	0	NO
activitypersonnellog	eap_use_id	uniqueidentifier	16	0	NO
activitypersonnellog	eap_acp_id	int	4	0	NO
activitypersonnellog	eap_bod_id	int	4	0	NO
activitypersonnellog	eap_DateAdded	datetime	8	0	NO
activitypersonnellog	eap_AddedBy	uniqueidentifier	16	0	NO
activitypersonnellog	eap_TransactionId	uniqueidentifier	16	0	NO
activitypersonnellog	eap_Action	char	1	0	NO
ActivityQuery	aaq_squ_QueryId	int	4	0	YES
ActivityQuery	aaq_smt_StudyMonitoringActivityId	int	4	0	NO
ActivityReview	sar_smt_StudyMonitoringActivityId	int	4	0	YES
ActivityReview	sar_act_ActivityId	uniqueidentifier	16	0	YES
ActivityReview	sar_bod_BodyPartId	int	4	0	YES
ActivityReview	sar_smr_ReviewTypeId	int	4	0	NO
ActivityReviewLog	sar_smt_StudyMonitoringActivityId	int	4	0	YES
ActivityReviewLog	sar_ObjectId	int	4	0	NO
ActivityReviewLog	sar_DateAdded	datetime	8	0	NO
ActivityReviewLog	sar_AddedBy	uniqueidentifier	16	0	NO
ActivityReviewLog	sar_Transactionid	uniqueidentifier	16	0	NO
ActivityReviewLog	sar_Action	char	1	0	NO
ActivityReviewLog	sar_act_ActivityId	uniqueidentifier	16	0	NO
ActivityReviewLog	sar_bod_BodyPartId	int	4	0	NO
ActivityReviewLog	sar_smr_ReviewTypeId	int	4	0	NO
ActivitySectionVersion	asv_abv_ActivityVersionId	int	4	0	YES
ActivitySectionVersion	asv_svr_SectionVersionId	int	4	0	YES
activitytype	aty_id	int	4	0	YES
activitytype	aty_desc	varchar	100	0	NO
activitytype	aty_title	varchar	100	0	NO
ActivityVersion	abv_Id	int	4	0	YES
ActivityVersion	abv_Name	nvarchar	200	0	NO
ActivityVersion	abv_Description	nvarchar	500	0	NO
ActivityVersionLog	abv_id	int	4	0	YES
ActivityVersionLog	abv_ObjectId	int	4	0	NO
ActivityVersionLog	abv_DateAdded	datetime	8	0	NO
ActivityVersionLog	abv_AddedBy	uniqueidentifier	16	0	NO
ActivityVersionLog	abv_TransactionId	uniqueidentifier	16	0	NO
ActivityVersionLog	abv_Action	char	1	0	NO
ActivityVersionLog	abv_aba_ActivityId	int	4	0	NO
ActivityVersionLog	abv_Name	nvarchar	200	1	NO
ActivityVersionLog	abv_Description	nvarchar	500	1	NO
ActivityVersionLog	abv_Version	int	4	1	NO
AdditionalData	fad_id	int	4	0	YES
AdditionalData	fad_fdt_id	int	4	0	NO
AdditionalData	fad_lks_id	int	4	0	NO
AdditionalDataLog	fad_ObjectId	int	4	0	NO
AdditionalDataLog	fad_id	int	4	0	YES
AdditionalDataLog	fad_fdt_id	int	4	0	NO
AdditionalDataLog	fad_pfd_id	int	4	0	NO
AdditionalDataLog	fad_lks_id	int	4	0	NO
AdditionalDataLog	fad_DateAdded	datetime	8	0	NO
AdditionalDataLog	fad_AddedBy	uniqueidentifier	16	0	NO
AdditionalDataLog	fad_TransactionId	uniqueidentifier	16	0	NO
AdditionalDataLog	fad_Action	char	1	0	NO
AdditionalDataType	fdt_id	int	4	0	YES
AdditionalDataType	fdt_description	nvarchar	510	0	NO
AdditionalDataType	fdt_formatString	nvarchar	510	0	NO
AdditionalDataType	fdt_separator	nvarchar	20	0	NO
AdditionalDataType	fdt_finalSeparator	nvarchar	20	1	NO
AdditionalDataType	fdt_priority	int	4	0	NO
AdditionalDisplayOption	ado_Id	int	4	0	YES
AddLens	Id	int	4	0	YES
AddLens	AddLensValue	float	8	0	NO
address	add_id	uniqueidentifier	16	0	YES
